area_sqft,floors,building_type,structure_type,wall_material,construction_stage,cement_bags,sand_cubic_meters,steel_kg,bricks_units,aggregates_cubic_meters,estimated_days,estimated_cost_inr
3208,2,Residential,Load Bearing,Concrete Blocks,Foundation,1097,82.29,8229,21943,137.14,15,481200
4015,2,Residential,Steel Frame,Brick,Framing,1927,144.54,14454,38544,240.9,30,1606000
2022,1,Commercial,Steel Frame,Brick,Framing,971,72.79,7279,19411,121.32,30,808800
2248,4,Industrial,Steel Frame,Concrete Blocks,Foundation,971,72.84,7284,19423,121.39,15,337200
3653,2,Commercial,Steel Frame,AAC Blocks,Flooring,1403,105.21,10521,28055,175.34,10,365300
4116,2,Residential,Steel Frame,Concrete Blocks,Excavation,1778,133.36,13336,35562,222.26,5,205800
1684,4,Industrial,RCC,Brick,Flooring,674,50.52,5052,13472,84.2,10,168400
1391,5,Industrial,Steel Frame,Brick,Flooring,668,50.08,5008,13354,83.46,10,139100
758,3,Commercial,Steel Frame,Concrete Blocks,Flooring,327,24.56,2456,6549,40.93,10,75800
1774,3,Industrial,RCC,Concrete Blocks,Plastering,639,47.9,4790,12773,79.83,20,212880
1831,1,Industrial,Load Bearing,Brick,Flooring,696,52.18,5218,13916,86.97,10,183100
3532,2,Industrial,RCC,Concrete Blocks,Plastering,1272,95.36,9536,25430,158.94,20,423840
2300,4,Residential,RCC,Concrete Blocks,Foundation,828,62.1,6210,16560,103.5,15,345000
1039,4,Commercial,Load Bearing,AAC Blocks,Foundation,316,23.69,2369,6317,39.48,15,155850
3300,2,Commercial,RCC,Brick,Flooring,1320,99,9900,26400,165,10,330000
4317,2,Commercial,RCC,AAC Blocks,Flooring,1381,103.61,10361,27629,172.68,10,431700
2541,4,Industrial,Load Bearing,AAC Blocks,Flooring,772,57.93,5793,15449,96.56,10,254100
4287,3,Residential,Load Bearing,AAC Blocks,Excavation,1303,97.74,9774,26065,162.91,5,214350
4173,2,Industrial,Load Bearing,AAC Blocks,Foundation,1269,95.14,9514,25372,158.57,15,625950
1635,4,Residential,Load Bearing,Concrete Blocks,Foundation,559,41.94,4194,11183,69.9,15,245250
4985,2,Residential,Steel Frame,Concrete Blocks,Plastering,2154,161.51,16151,43070,269.19,20,598200
1622,1,Industrial,Steel Frame,Brick,Framing,779,58.39,5839,15571,97.32,30,648800
3046,5,Commercial,Steel Frame,AAC Blocks,Framing,1170,87.72,8772,23393,146.21,30,1218400
1000,4,Commercial,Load Bearing,AAC Blocks,Foundation,304,22.8,2280,6080,38,15,150000
3897,4,Commercial,Load Bearing,AAC Blocks,Framing,1185,88.85,8885,23694,148.09,30,1558800
3170,2,Commercial,Load Bearing,Brick,Excavation,1205,90.34,9034,24092,150.57,5,158500
2496,2,Commercial,RCC,AAC Blocks,Plastering,799,59.9,5990,15974,99.84,20,299520
2169,5,Residential,Steel Frame,AAC Blocks,Excavation,833,62.47,6247,16658,104.11,5,108450
2528,1,Residential,Steel Frame,AAC Blocks,Excavation,971,72.81,7281,19415,121.34,5,126400
3140,3,Industrial,RCC,Concrete Blocks,Excavation,1130,84.78,8478,22608,141.3,5,157000
