ProjectType,ProjectSize_sqm,Location,Complexity,NumFloors,StartDate,EndDate,ConstructionCost,MaterialCost,LaborCost,EquipmentCost,PermitCost,ContingencyCost,OverheadCost,NumWorkers,WeatherConditions,PrevProjectCompletionTime,PrevProjectCost,ConstructionLevel
Infrastructure,9771,Urban,1,38,03-09-2022 04:01,15-05-2024 04:01,20639812.12,5142842.421,7741276.654,1409567.122,1022020.047,698365.7189,3702702.871,40,Storm,746,71454965.96,Medium
Educational,15650,Suburban,1,10,25-06-2019 08:00,10-09-2021 08:00,15063373.11,5534493.578,2455899.229,1799151.304,735676.33,550247.3635,2793717.986,214,Windy,308,81113287.18,Large
Residential,16311,Suburban,1,46,17-10-2017 07:58,21-03-2020 07:58,18960610.14,4353097.057,4240253.307,2425886.418,276809.9123,1129122.421,3048153.554,138,Rain,589,56442575.49,Large
Commercial,2992,Urban,5,20,14-10-2018 13:10,10-09-2019 13:10,5141167.845,2849094.051,928829.228,296878.8724,161045.5542,442521.5533,542245.0179,91,Windy,854,61769745.18,Small
Infrastructure,16086,Urban,1,32,25-02-2020 04:27,27-06-2022 04:27,20541035.24,7314521.505,5293058.528,1825939.638,554784.3533,1334080.301,3101790.688,216,Windy,787,9177092.749,Large
Residential,6801,Suburban,1,6,30-06-2023 18:10,12-10-2024 18:10,15548742.38,5248182.08,5276155.694,809851.5917,470107.904,913995.8001,1867372.506,177,Foggy,846,39896207.5,Medium
Residential,14801,Rural,2,49,26-08-2015 12:28,27-11-2017 12:28,24330892.21,12968038.14,8357327.56,1443340.6,786769.2872,910851.9999,3907147.572,206,Clear,473,33831189.73,Large
Commercial,6688,Suburban,3,31,11-05-2019 20:22,03-06-2020 20:22,13242359.31,6463674.607,5043689.526,783698.9057,660410.066,1212088.569,1682862.782,245,Snow,68,38621260.87,Medium
Educational,11827,Suburban,3,5,25-07-2020 12:16,14-05-2022 12:16,7143097.4,1467199.097,1106890.996,391069.7039,89281.63114,514619.3187,1160493.26,238,Storm,320,77145943.49,Large
Educational,18500,Rural,5,25,09-06-2024 18:35,03-07-2027 18:35,36046965.9,20814173.18,7518780.319,4102618.388,867044.2155,1263580.57,6942518.311,169,Storm,795,77997345.77,Large
Commercial,6407,Urban,5,46,01-07-2021 17:36,04-10-2022 17:36,7395610.956,2408733.758,2824885.116,549510.2282,311867.5419,375975.8071,1112749.626,248,Clear,661,82103785.68,Medium
Industrial,8728,Suburban,4,44,01-08-2023 22:00,04-04-2025 22:00,10720344.73,4792222.811,2010545.682,648261.3587,95241.38996,636311.3314,1695314.702,175,Rain,974,89467662.16,Medium
Educational,10044,Suburban,4,3,04-06-2024 04:44,15-03-2026 04:44,22655357.16,6355973.924,6743934.12,2102568.388,1033236.671,2012020.772,2751355.383,67,Windy,888,72935651.29,Large
Industrial,11860,Suburban,4,46,17-11-2019 12:45,15-11-2021 12:45,18881355.87,4140348.174,4993055.613,1741886.815,753324.5298,847367.244,2661442.069,127,Storm,930,57640667.15,Large
Educational,7857,Urban,2,44,24-02-2018 12:08,13-05-2019 12:08,6972775.426,3319738.473,2724683.745,881180.4444,347351.3109,487546.0305,782288.6829,124,Rain,147,33973492.35,Medium
Infrastructure,3442,Suburban,1,47,25-04-2024 20:18,06-02-2025 20:18,3233857.382,978750.9369,514107.5247,458301.1995,39022.65624,269159.0529,215738.1233,115,Snow,955,62733862.51,Small
Educational,18789,Rural,1,10,14-12-2024 07:37,30-09-2027 07:37,25646947.64,10095931.91,7374302.916,2883976.992,137736.7867,1362668.336,2429117.84,254,Windy,823,82046398.49,Large
Industrial,7083,Rural,1,38,28-12-2016 20:35,30-11-2017 20:35,4206125.253,1100560.855,1409179.977,325066.9875,202767.0975,305854.0348,735678.2808,170,Snow,87,9535998.554,Medium
Educational,8574,Urban,2,21,20-02-2018 12:40,04-08-2019 12:40,9008163.16,3831222.984,2279449,484508.6593,393851.2498,276327.0844,1613916.445,10,Windy,611,35582797.05,Medium
Industrial,5478,Rural,4,10,28-06-2016 06:20,19-07-2017 06:20,13074342.43,3531485.969,2030770.203,1584785.441,496523.3228,827907.1182,2085728.07,274,Snow,541,54160276.37,Medium
Educational,4142,Rural,3,28,05-07-2016 04:06,07-04-2017 04:06,6847477.312,3930006.894,2682653.378,651901.9669,185528.858,552171.7062,694843.8633,160,Foggy,570,26882242.8,Small
Commercial,4441,Rural,1,1,10-03-2022 11:19,23-11-2022 11:19,5902005.878,1320565.023,1237171.895,483394.6337,75576.32926,350004.588,339830.2672,166,Foggy,168,11138719.19,Small
Commercial,4836,Urban,2,38,18-03-2017 11:08,18-02-2018 11:08,2718490.799,1062837.205,898439.1685,306137.6075,35017.36987,151860.9767,339722.2173,54,Storm,426,66901661.67,Small
Residential,14521,Urban,2,28,22-01-2017 04:55,11-02-2019 04:55,10885757.91,6325383.815,1760428.773,993762.5217,403311.6581,512422.1293,1935667.278,211,Rain,52,85976237.76,Large
Commercial,7053,Urban,1,45,18-10-2016 17:32,04-01-2018 17:32,13706889.69,3710521.333,4824126.293,2025736.277,577222.6219,911962.5337,1119912.552,273,Snow,852,11724835.89,Medium
Commercial,8057,Urban,2,2,22-09-2021 13:57,22-01-2023 13:57,10718567.76,5343653.238,3882969.866,772260.7825,196111.8372,741542.3632,1663153.226,252,Windy,640,87235302.42,Medium
Commercial,1767,Suburban,3,21,07-11-2015 04:58,20-04-2016 04:58,3432398.728,1382726.432,957016.3301,349794.6454,88435.07856,207525.5916,240409.5893,42,Foggy,86,89784743.65,Small
